ligne,station,ordre,correspondance
RER A 1,Cergy le Haut,1,
RER A 1,Cergy Saint-Christophe,2,
RER A 1,Cergy Préfecture,3,
RER A 1,Neuville Université,4,
RER A 1,Conflans Fin d’Oise,5,
RER A 1,Achères Ville,6,
RER A 1,Maisons Laffitte,7,
RER A 1,Sartrouville,8,
RER A 1,Houilles Carrières sur Seine,9,
RER A 1,Nanterre – Préfecture,10,
RER A 1,La Défense Grande Arche,11,METRO 1
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6"
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D"
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 1,Vincennes,17,
RER A 1,Fontenay sous Bois,18,
RER A 1,Nogent sur Marne,19,
RER A 1,Joinville le Pont,20,
RER A 1,Saint-Maur – Créteil,21,
RER A 1,Le Parc de Saint-Maur,22,
RER A 1,Champigny,23,
RER A 1,La varenne Chennevières,24,
RER A 1,Sucy Bonneuil,25,
RER A 1,Boissy Saint Léger,26,
RER A 2,Poissy,1,
RER A 2,Achères Grand Cormier,2,
RER A 2,Maisons Laffitte,3,
RER A 2,Sartrouville,4,
RER A 2,Houilles Carrières sur Seine,5,
RER A 2,Nanterre – Préfecture,6,
RER A 2,La Défense Grande Arche,7,METRO 1
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6"
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D"
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 2,Vincennes,13,
RER A 2,Fontenay sous Bois,14,
RER A 2,Nogent sur Marne,15,
RER A 2,Joinville le Pont,16,
RER A 2,Saint-Maur – Créteil,17,
RER A 2,Le Parc de Saint-Maur,18,
RER A 2,Champigny,19,
RER A 2,La varenne Chennevières,20,
RER A 2,Sucy Bonneuil,21,
RER A 2,Boissy Saint Léger,22,
RER A 3,Saint Germain en Laye,1,
RER A 3,Le Vésinet – Le Pecq,2,
RER A 3,Le Vésinet – Centre,3,
RER A 3,Chatou-Croissy,4,
RER A 3,Rueil Malmaison,5,
RER A 3,Nanterre Ville,6,
RER A 3,Nanterre Université,7,
RER A 3,Nanterre – Préfecture,8,
RER A 3,La Défense Grande Arche,9,METRO 1
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6"
RER A 3,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E"
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D"
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D"
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9"
RER A 3,Vincennes,15,
RER A 3,Fontenay sous Bois,16,
RER A 3,Nogent sur Marne,17,
RER A 3,Joinville le Pont,18,
RER A 3,Saint-Maur – Créteil,19,
RER A 3,Le Parc de Saint-Maur,20,
RER A 3,Champigny,21,
RER A 3,La varenne Chennevières,22,
RER A 3,Sucy Bonneuil,23,
RER A 3,Boissy Saint Léger,24,
RER A 4,Cergy le Haut,1,
RER A 4,Cergy Saint-Christophe,2,
RER A 4,Cergy Préfecture,3,
RER A 4,Neuville Université,4,
RER A 4,Conflans Fin d’Oise,5,
RER A 4,Achères Ville,6,
RER A 4,Maisons Laffitte,7,
RER A 4,Sartrouville,8,
RER A 4,Houilles Carrières sur Seine,9,
RER A 4,Nanterre – Préfecture,10,
RER A 4,La Défense Grande Arche,11,METRO 1
RER A 4,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6"
