ligne,station,ordre,correspondance,station_norm,station_key,latitude,longitude
RER A 1,Cergy le Haut,1,,cergy le haut,cergy le haut,49.04787620336899,2.0109997600036325
RER A 1,Cergy Saint-Christophe,2,,cergy saint christophe,cergy saint christophe,49.049647005256354,2.034294461852662
RER A 1,Cergy Préfecture,3,,cergy prefecture,cergy prefecture,49.036463980725365,2.079534939997373
RER A 1,Neuville Université,4,,neuville universite,neuville universite,49.01413368498304,2.078306591409993
RER A 1,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99033259105296,2.073955308732424
RER A 1,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99033252838146,2.0739471888196928
RER A 1,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,48.99195703589888,2.0753904501601403
RER A 1,Achères Ville,6,,acheres ville,acheres ville,48.97066504832262,2.0777317645655984
RER A 1,Maisons Laffitte,7,,maisons laffitte,maisons laffitte,48.94550297190666,2.1450174376542583
RER A 1,Sartrouville,8,,sartrouville,sartrouville,48.93773606341459,2.1570864964698178
RER A 1,Houilles Carrières sur Seine,9,,houilles carrieres sur seine,houilles carrieres sur seine,48.92037937392436,2.185353376302864
RER A 1,Nanterre – Préfecture,10,,nanterre prefecture,nanterre prefecture,48.89574531120744,2.2232129684066617
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89218707644951,2.237018056395014
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.8921233638325,2.237213536457713
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89286497052017,2.2395681712170497
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,48.89168813894621,2.238595217338472
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87481054112289,2.2958012223518693
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87514981972761,2.295904904713175
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.874204186324654,2.2947732143825275
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87474865067991,2.2955602562131467
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,48.87215749487708,2.329927170608276
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85763141070005,2.3480365654004016
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86251523497548,2.345785860039181
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.856942736159496,2.348147481005499
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86182227279812,2.3470126872387564
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85928732517095,2.345803056189527
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.859589655582816,2.346478183587595
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.8597186619952,2.346768285736699
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84476017126674,2.373593653262281
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84413934985302,2.373259976710645
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84586897868619,2.373774422563834
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84377257685146,2.3739164698064985
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.843486761806766,2.3739225903167545
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84823711041019,2.395823588826126
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.847579367477074,2.395554512170688
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.848474285974376,2.395062305425881
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84737487872935,2.39546199483274
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84894464506383,2.3958794351856887
RER A 1,Vincennes,17,,vincennes,vincennes,48.84445639456913,2.440439978057246
RER A 1,Vincennes,17,,vincennes,vincennes,48.84734036417028,2.432434660260661
RER A 1,Fontenay sous Bois,18,,fontenay sous bois,val de fontenay,48.84379435193279,2.463501419487552
RER A 1,Fontenay sous Bois,18,,fontenay sous bois,val de fontenay,48.85409607826304,2.4886964657999355
RER A 1,Fontenay sous Bois,18,,fontenay sous bois,val de fontenay,48.85426899363538,2.489167460948015
RER A 1,Nogent sur Marne,19,,nogent sur marne,nogent sur marne,48.83428889889616,2.471681242571033
RER A 1,Joinville le Pont,20,,joinville le pont,joinville le pont,48.82103881506317,2.4638567953623163
RER A 1,Saint-Maur – Créteil,21,,saint maur creteil,saint maur creteil,48.80620002476372,2.4727204038021715
RER A 1,Le Parc de Saint-Maur,22,,le parc de saint maur,le parc de saint maur,48.80537766216148,2.4863497487790744
RER A 1,Champigny,23,,champigny,champigny,48.80698507164625,2.510307237115641
RER A 1,La varenne Chennevières,24,,la varenne chennevieres,la varenne chennevieres,48.79538383561484,2.513423298184714
RER A 1,Sucy Bonneuil,25,,sucy bonneuil,sucy bonneuil,48.77170790696432,2.507482645714313
RER A 1,Boissy Saint Léger,26,,boissy saint leger,boissy saint leger,48.75218572078873,2.504559838342837
RER A 2,Poissy,1,,poissy,poissy,48.93326540612855,2.041072289675926
RER A 2,Achères Grand Cormier,2,,acheres grand cormier,acheres grand cormier,48.95540224453112,2.093521901580612
RER A 2,Maisons Laffitte,3,,maisons laffitte,maisons laffitte,48.94550297190666,2.1450174376542583
RER A 2,Sartrouville,4,,sartrouville,sartrouville,48.93773606341459,2.1570864964698178
RER A 2,Houilles Carrières sur Seine,5,,houilles carrieres sur seine,houilles carrieres sur seine,48.92037937392436,2.185353376302864
RER A 2,Nanterre – Préfecture,6,,nanterre prefecture,nanterre prefecture,48.89574531120744,2.2232129684066617
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,48.89218707644951,2.237018056395014
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,48.8921233638325,2.237213536457713
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,48.89286497052017,2.2395681712170497
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,48.89168813894621,2.238595217338472
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87481054112289,2.2958012223518693
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87514981972761,2.295904904713175
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.874204186324654,2.2947732143825275
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87474865067991,2.2955602562131467
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,48.87215749487708,2.329927170608276
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85763141070005,2.3480365654004016
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86251523497548,2.345785860039181
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.856942736159496,2.348147481005499
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86182227279812,2.3470126872387564
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85928732517095,2.345803056189527
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.859589655582816,2.346478183587595
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.8597186619952,2.346768285736699
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84476017126674,2.373593653262281
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84413934985302,2.373259976710645
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84586897868619,2.373774422563834
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84377257685146,2.3739164698064985
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.843486761806766,2.3739225903167545
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84823711041019,2.395823588826126
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.847579367477074,2.395554512170688
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.848474285974376,2.395062305425881
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84737487872935,2.39546199483274
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84894464506383,2.3958794351856887
RER A 2,Vincennes,13,,vincennes,vincennes,48.84445639456913,2.440439978057246
RER A 2,Vincennes,13,,vincennes,vincennes,48.84734036417028,2.432434660260661
RER A 2,Fontenay sous Bois,14,,fontenay sous bois,val de fontenay,48.84379435193279,2.463501419487552
RER A 2,Fontenay sous Bois,14,,fontenay sous bois,val de fontenay,48.85409607826304,2.4886964657999355
RER A 2,Fontenay sous Bois,14,,fontenay sous bois,val de fontenay,48.85426899363538,2.489167460948015
RER A 2,Nogent sur Marne,15,,nogent sur marne,nogent sur marne,48.83428889889616,2.471681242571033
RER A 2,Joinville le Pont,16,,joinville le pont,joinville le pont,48.82103881506317,2.4638567953623163
RER A 2,Saint-Maur – Créteil,17,,saint maur creteil,saint maur creteil,48.80620002476372,2.4727204038021715
RER A 2,Le Parc de Saint-Maur,18,,le parc de saint maur,le parc de saint maur,48.80537766216148,2.4863497487790744
RER A 2,Champigny,19,,champigny,champigny,48.80698507164625,2.510307237115641
RER A 2,La varenne Chennevières,20,,la varenne chennevieres,la varenne chennevieres,48.79538383561484,2.513423298184714
RER A 2,Sucy Bonneuil,21,,sucy bonneuil,sucy bonneuil,48.77170790696432,2.507482645714313
RER A 2,Boissy Saint Léger,22,,boissy saint leger,boissy saint leger,48.75218572078873,2.504559838342837
RER A 3,Saint Germain en Laye,1,,saint germain en laye,saint germain en laye,48.90171349442861,2.0952137438353384
RER A 3,Saint Germain en Laye,1,,saint germain en laye,saint germain en laye,48.89807641113002,2.0948366282977533
RER A 3,Le Vésinet – Le Pecq,2,,le vesinet le pecq,le vesinet le pecq,48.89797344633644,2.122117447472966
RER A 3,Le Vésinet – Centre,3,,le vesinet centre,le vesinet centre,48.89008623555386,2.134600875228717
RER A 3,Chatou-Croissy,4,,chatou croissy,chatou croissy,48.88521121820845,2.155903471896522
RER A 3,Rueil Malmaison,5,,rueil malmaison,rueil malmaison,48.88757361863876,2.172579447718415
RER A 3,Nanterre Ville,6,,nanterre ville,nanterre ville,48.89512589133458,2.195363986912901
RER A 3,Nanterre Université,7,,nanterre universite,nanterre universite,48.90101049575467,2.2135566086399585
RER A 3,Nanterre Université,7,,nanterre universite,nanterre universite,48.90131105604062,2.213302314596661
RER A 3,Nanterre – Préfecture,8,,nanterre prefecture,nanterre prefecture,48.89574531120744,2.2232129684066617
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,48.89218707644951,2.237018056395014
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,48.8921233638325,2.237213536457713
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,48.89286497052017,2.2395681712170497
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,48.89168813894621,2.238595217338472
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87481054112289,2.2958012223518693
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87514981972761,2.295904904713175
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.874204186324654,2.2947732143825275
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,48.87474865067991,2.2955602562131467
RER A 3,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,48.87215749487708,2.329927170608276
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85763141070005,2.3480365654004016
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86251523497548,2.345785860039181
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.856942736159496,2.348147481005499
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.86182227279812,2.3470126872387564
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.85928732517095,2.345803056189527
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.859589655582816,2.346478183587595
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,48.8597186619952,2.346768285736699
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84476017126674,2.373593653262281
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84413934985302,2.373259976710645
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84586897868619,2.373774422563834
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.84377257685146,2.3739164698064985
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,48.843486761806766,2.3739225903167545
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84823711041019,2.395823588826126
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.847579367477074,2.395554512170688
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.848474285974376,2.395062305425881
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84737487872935,2.39546199483274
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,48.84894464506383,2.3958794351856887
RER A 3,Vincennes,15,,vincennes,vincennes,48.84445639456913,2.440439978057246
RER A 3,Vincennes,15,,vincennes,vincennes,48.84734036417028,2.432434660260661
RER A 3,Fontenay sous Bois,16,,fontenay sous bois,val de fontenay,48.84379435193279,2.463501419487552
RER A 3,Fontenay sous Bois,16,,fontenay sous bois,val de fontenay,48.85409607826304,2.4886964657999355
RER A 3,Fontenay sous Bois,16,,fontenay sous bois,val de fontenay,48.85426899363538,2.489167460948015
RER A 3,Nogent sur Marne,17,,nogent sur marne,nogent sur marne,48.83428889889616,2.471681242571033
RER A 3,Joinville le Pont,18,,joinville le pont,joinville le pont,48.82103881506317,2.4638567953623163
RER A 3,Saint-Maur – Créteil,19,,saint maur creteil,saint maur creteil,48.80620002476372,2.4727204038021715
RER A 3,Le Parc de Saint-Maur,20,,le parc de saint maur,le parc de saint maur,48.80537766216148,2.4863497487790744
RER A 3,Champigny,21,,champigny,champigny,48.80698507164625,2.510307237115641
