ligne,station,ordre,correspondance,station_norm,station_key,main_line,affluence_score
RER A 1,Cergy le Haut,1,,cergy le haut,cergy le haut,RER A,0.31381059609000017
RER A 1,Cergy Saint-Christophe,2,,cergy saint christophe,cergy saint christophe,RER A,0.34867844010000015
RER A 1,Cergy Préfecture,3,,cergy prefecture,cergy prefecture,RER A,0.38742048900000015
RER A 1,Neuville Université,4,,neuville universite,neuville universite,RER A,0.43046721000000016
RER A 1,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,RER A,0.47829690000000014
RER A 1,Achères Ville,6,,acheres ville,acheres ville,RER A,0.5314410000000002
RER A 1,Maisons Laffitte,7,,maisons laffitte,maisons laffitte,RER A,0.5904900000000002
RER A 1,Sartrouville,8,,sartrouville,sartrouville,RER A,0.6561000000000001
RER A 1,Houilles Carrières sur Seine,9,,houilles carrieres sur seine,houilles carrieres sur seine,RER A,0.7290000000000001
RER A 1,Nanterre – Préfecture,10,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 1,Vincennes,17,,vincennes,vincennes,RER A,0.6
RER A 1,Fontenay sous Bois,18,,fontenay sous bois,val de fontenay,RER A,0.6
RER A 1,Nogent sur Marne,19,,nogent sur marne,nogent sur marne,RER A,0.6
RER A 1,Joinville le Pont,20,,joinville le pont,joinville le pont,RER A,0.6
RER A 1,Saint-Maur – Créteil,21,,saint maur creteil,saint maur creteil,RER A,0.54
RER A 1,Le Parc de Saint-Maur,22,,le parc de saint maur,le parc de saint maur,RER A,0.48600000000000004
RER A 1,Champigny,23,,champigny,champigny,RER A,0.43740000000000007
RER A 1,La varenne Chennevières,24,,la varenne chennevieres,la varenne chennevieres,RER A,0.39366000000000007
RER A 1,Sucy Bonneuil,25,,sucy bonneuil,sucy bonneuil,RER A,0.35429400000000005
RER A 1,Boissy Saint Léger,26,,boissy saint leger,boissy saint leger,RER A,0.31886460000000005
RER A 2,Poissy,1,,poissy,poissy,RER A,0.47829690000000014
RER A 2,Achères Grand Cormier,2,,acheres grand cormier,acheres grand cormier,RER A,0.5314410000000002
RER A 2,Maisons Laffitte,3,,maisons laffitte,maisons laffitte,RER A,0.5904900000000002
RER A 2,Sartrouville,4,,sartrouville,sartrouville,RER A,0.6561000000000001
RER A 2,Houilles Carrières sur Seine,5,,houilles carrieres sur seine,houilles carrieres sur seine,RER A,0.7290000000000001
RER A 2,Nanterre – Préfecture,6,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 2,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 2,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 2,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 2,Vincennes,13,,vincennes,vincennes,RER A,0.6
RER A 2,Fontenay sous Bois,14,,fontenay sous bois,val de fontenay,RER A,0.6
RER A 2,Nogent sur Marne,15,,nogent sur marne,nogent sur marne,RER A,0.6
RER A 2,Joinville le Pont,16,,joinville le pont,joinville le pont,RER A,0.6
RER A 2,Saint-Maur – Créteil,17,,saint maur creteil,saint maur creteil,RER A,0.54
RER A 2,Le Parc de Saint-Maur,18,,le parc de saint maur,le parc de saint maur,RER A,0.48600000000000004
RER A 2,Champigny,19,,champigny,champigny,RER A,0.43740000000000007
RER A 2,La varenne Chennevières,20,,la varenne chennevieres,la varenne chennevieres,RER A,0.39366000000000007
RER A 2,Sucy Bonneuil,21,,sucy bonneuil,sucy bonneuil,RER A,0.35429400000000005
RER A 2,Boissy Saint Léger,22,,boissy saint leger,boissy saint leger,RER A,0.31886460000000005
RER A 3,Saint Germain en Laye,1,,saint germain en laye,saint germain en laye,RER A,0.38742048900000015
RER A 3,Le Vésinet – Le Pecq,2,,le vesinet le pecq,le vesinet le pecq,RER A,0.43046721000000016
RER A 3,Le Vésinet – Centre,3,,le vesinet centre,le vesinet centre,RER A,0.47829690000000014
RER A 3,Chatou-Croissy,4,,chatou croissy,chatou croissy,RER A,0.5314410000000002
RER A 3,Rueil Malmaison,5,,rueil malmaison,rueil malmaison,RER A,0.5904900000000002
RER A 3,Nanterre Ville,6,,nanterre ville,nanterre ville,RER A,0.6561000000000001
RER A 3,Nanterre Université,7,,nanterre universite,nanterre universite,RER A,0.7290000000000001
RER A 3,Nanterre – Préfecture,8,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 3,La Défense Grande Arche,9,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 3,Charles de Gaulle – Étoile,10,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 3,Auber,11,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 3,Châtelet – Les Halles,12,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 3,Paris-Gare de Lyon,13,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 3,Nation,14,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 3,Vincennes,15,,vincennes,vincennes,RER A,0.6
RER A 3,Fontenay sous Bois,16,,fontenay sous bois,val de fontenay,RER A,0.6
RER A 3,Nogent sur Marne,17,,nogent sur marne,nogent sur marne,RER A,0.6
RER A 3,Joinville le Pont,18,,joinville le pont,joinville le pont,RER A,0.6
RER A 3,Saint-Maur – Créteil,19,,saint maur creteil,saint maur creteil,RER A,0.54
RER A 3,Le Parc de Saint-Maur,20,,le parc de saint maur,le parc de saint maur,RER A,0.48600000000000004
RER A 3,Champigny,21,,champigny,champigny,RER A,0.43740000000000007
RER A 3,La varenne Chennevières,22,,la varenne chennevieres,la varenne chennevieres,RER A,0.39366000000000007
RER A 3,Sucy Bonneuil,23,,sucy bonneuil,sucy bonneuil,RER A,0.35429400000000005
RER A 3,Boissy Saint Léger,24,,boissy saint leger,boissy saint leger,RER A,0.31886460000000005
RER A 4,Cergy le Haut,1,,cergy le haut,cergy le haut,RER A,0.31381059609000017
RER A 4,Cergy Saint-Christophe,2,,cergy saint christophe,cergy saint christophe,RER A,0.34867844010000015
RER A 4,Cergy Préfecture,3,,cergy prefecture,cergy prefecture,RER A,0.38742048900000015
RER A 4,Neuville Université,4,,neuville universite,neuville universite,RER A,0.43046721000000016
RER A 4,Conflans Fin d’Oise,5,,conflans fin d'oise,conflans fin d'oise,RER A,0.47829690000000014
RER A 4,Achères Ville,6,,acheres ville,acheres ville,RER A,0.5314410000000002
RER A 4,Maisons Laffitte,7,,maisons laffitte,maisons laffitte,RER A,0.5904900000000002
RER A 4,Sartrouville,8,,sartrouville,sartrouville,RER A,0.6561000000000001
RER A 4,Houilles Carrières sur Seine,9,,houilles carrieres sur seine,houilles carrieres sur seine,RER A,0.7290000000000001
RER A 4,Nanterre – Préfecture,10,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 4,La Défense Grande Arche,11,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 4,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 4,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 4,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 4,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 4,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 4,Vincennes,17,,vincennes,vincennes,RER A,0.6
RER A 4,Val de Fontenay,18,RER E,val de fontenay,val de fontenay,RER A,0.6
RER A 4,Neuilly Plaisance,19,,neuilly plaisance,neuilly plaisance,RER A,0.6
RER A 4,Bry sur Marne,20,,bry sur marne,bry sur marne,RER A,0.54
RER A 4,Noisy le Grand Mont d’Est,21,,noisy le grand mont d'est,noisy le grand mont d'est,RER A,0.48600000000000004
RER A 4,Noisy Champs,22,,noisy champs,noisy champs,RER A,0.43740000000000007
RER A 4,Noisiel,23,,noisiel,noisiel,RER A,0.39366000000000007
RER A 4,Lognes,24,,lognes,lognes,RER A,0.35429400000000005
RER A 4,Torcy,25,,torcy,torcy,RER A,0.31886460000000005
RER A 4,Bussy Saint-Georges,26,,bussy saint georges,bussy saint georges,RER A,0.28697814000000005
RER A 4,Serris-Montévrain – Val d’Europe,27,,serris montevrain val d'europe,serris montevrain val d'europe,RER A,0.25828032600000006
RER A 4,Marne la Vallée Chessy – Parc Disneyland,28,,marne la vallee chessy parc disneyland,marne la vallee chessy parc disneyland,RER A,0.23245229340000007
RER A 5,Poissy,1,,poissy,poissy,RER A,0.47829690000000014
RER A 5,Achères Grand Cormier,2,,acheres grand cormier,acheres grand cormier,RER A,0.5314410000000002
RER A 5,Maisons Laffitte,3,,maisons laffitte,maisons laffitte,RER A,0.5904900000000002
RER A 5,Sartrouville,4,,sartrouville,sartrouville,RER A,0.6561000000000001
RER A 5,Houilles Carrières sur Seine,5,,houilles carrieres sur seine,houilles carrieres sur seine,RER A,0.7290000000000001
RER A 5,Nanterre – Préfecture,6,,nanterre prefecture,nanterre prefecture,RER A,0.81
RER A 5,La Défense Grande Arche,7,METRO 1,la defense grande arche,la defense,RER A,0.9
RER A 5,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile,charles de gaulle etoile,RER A,0.82
RER A 5,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber,auber,RER A,0.738
RER A 5,Châtelet – Les Halles,10,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles,chatelet,RER A,0.95
RER A 5,Paris-Gare de Lyon,11,"METRO 1, METRO 14, RER D",paris gare de lyon,gare de lyon,RER A,0.98
RER A 5,Nation,12,"METRO 1, METRO 2, METRO 6, METRO 9",nation,nation,RER A,0.82
RER A 5,Vincennes,13,,vincennes,vincennes,RER A,0.6
RER A 5,Val de Fontenay,14,RER E,val de fontenay,val de fontenay,RER A,0.6
RER A 5,Neuilly Plaisance,15,,neuilly plaisance,neuilly plaisance,RER A,0.6
RER A 5,Bry sur Marne,16,,bry sur marne,bry sur marne,RER A,0.54
RER A 5,Noisy le Grand Mont d’Est,17,,noisy le grand mont d'est,noisy le grand mont d'est,RER A,0.48600000000000004
RER A 5,Noisy Champs,18,,noisy champs,noisy champs,RER A,0.43740000000000007
RER A 5,Noisiel,19,,noisiel,noisiel,RER A,0.39366000000000007
RER A 5,Lognes,20,,lognes,lognes,RER A,0.35429400000000005
