ligne,station,ordre,correspondance,station_norm
RER A 1,Cergy le Haut,1,,cergy le haut
RER A 1,Cergy Saint-Christophe,2,,cergy saint christophe
RER A 1,Cergy Préfecture,3,,cergy prefecture
RER A 1,Neuville Université,4,,neuville universite
RER A 1,Conflans Fin d’Oise,5,,conflans fin d'oise
RER A 1,Achères Ville,6,,acheres ville
RER A 1,Maisons Laffitte,7,,maisons laffitte
RER A 1,Sartrouville,8,,sartrouville
RER A 1,Houilles Carrières sur Seine,9,,houilles carrieres sur seine
RER A 1,Nanterre – Préfecture,10,,nanterre prefecture
RER A 1,La Défense Grande Arche,11,METRO 1,la defense grande arche
RER A 1,Charles de Gaulle – Étoile,12,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 1,Auber,13,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
RER A 1,Châtelet – Les Halles,14,"METRO 1, METRO 4, METRO 7, METRO 11, METRO 14, RER B, RER D",chatelet les halles
RER A 1,Paris-Gare de Lyon,15,"METRO 1, METRO 14, RER D",paris gare de lyon
RER A 1,Nation,16,"METRO 1, METRO 2, METRO 6, METRO 9",nation
RER A 1,Vincennes,17,,vincennes
RER A 1,Fontenay sous Bois,18,,fontenay sous bois
RER A 1,Nogent sur Marne,19,,nogent sur marne
RER A 1,Joinville le Pont,20,,joinville le pont
RER A 1,Saint-Maur – Créteil,21,,saint maur creteil
RER A 1,Le Parc de Saint-Maur,22,,le parc de saint maur
RER A 1,Champigny,23,,champigny
RER A 1,La varenne Chennevières,24,,la varenne chennevieres
RER A 1,Sucy Bonneuil,25,,sucy bonneuil
RER A 1,Boissy Saint Léger,26,,boissy saint leger
RER A 2,Poissy,1,,poissy
RER A 2,Achères Grand Cormier,2,,acheres grand cormier
RER A 2,Maisons Laffitte,3,,maisons laffitte
RER A 2,Sartrouville,4,,sartrouville
RER A 2,Houilles Carrières sur Seine,5,,houilles carrieres sur seine
RER A 2,Nanterre – Préfecture,6,,nanterre prefecture
RER A 2,La Défense Grande Arche,7,METRO 1,la defense grande arche
RER A 2,Charles de Gaulle – Étoile,8,"METRO 1, METRO 2, METRO 6",charles de gaulle etoile
RER A 2,Auber,9,"METRO 3, METRO 7, METRO 8, METRO 9, RER E",auber
