gare_key,nom_so_gar,latitude,longitude
aeroport d'orly,Aéroport d'Orly,48.72955072266279,2.3682641286195816
viroflay rive droite,Viroflay Rive Droite,48.8057041548583,2.169070049430457
boulogne jean jaures,Boulogne - Jean Jaurès,48.842005347289565,2.238887327153073
bolivar,Bolivar,48.880667463456206,2.374495966260425
anatole france,Anatole France,48.89208278596666,2.2850095013824143
arts et metiers,Arts et Métiers,48.86558647849898,2.356736756794993
barbes rochechouart,Barbès-Rochechouart,48.88380394240113,2.3506129993253224
bastille,Bastille,48.85343942756841,2.3695135681565254
bel air,Bel-Air,48.84133824913213,2.4009185367798027
berault,Bérault,48.845470707583566,2.4292051663480003
creteil prefecture,Créteil–Préfecture,48.78000282890859,2.4593631290764044
daumesnil,Daumesnil,48.83944542837951,2.3961828864526327
cardinal lemoine,Cardinal Lemoine,48.84665685124266,2.3516232550160123
chatelet,Châtelet,48.85763141070005,2.3480365654004016
cite,Cité,48.85493637835866,2.3473213170674265
concorde,Concorde,48.86628580458389,2.322943412243541
glaciere,Glacière,48.831129548026645,2.3435116577497763
jourdain,Jourdain,48.87511181695599,2.389415032035528
jules joffrin,Jules Joffrin,48.89241892294572,2.3447646117383565
maraichers,Maraîchers,48.85272512017012,2.406089161868773
marcadet poissonniers,Marcadet-Poissonniers,48.89143955488239,2.349627158227453
michel bizot,Michel Bizot,48.83711700698872,2.402333164555185
la motte picquet grenelle,La Motte Picquet-Grenelle,48.848741665717824,2.2989309117480614
le kremlin bicetre,Le Kremlin-Bicêtre,48.81012995727394,2.362263387127349
ledru rollin,Ledru Rollin,48.85152370843435,2.3751010337556164
madeleine,Madeleine,48.87023324339993,2.325163546827897
ourcq,Ourcq,48.88685693150188,2.385913174273276
palais royal musee du louvre,Palais Royal - Musée du Louvre,48.86234803084025,2.336496460942477
palais royal musee du louvre,Palais Royal - Musée du Louvre,48.86282967190577,2.3368784003342
pernety,Pernety,48.83422588267789,2.318616414425384
picpus,Picpus,48.84506157994489,2.4012890198273484
pierre et marie curie,Pierre et Marie Curie,48.81593076305632,2.37726720151374
place d'italie,Place d'Italie,48.8309272410005,2.356121938797104
notre dame des champs,Notre-Dame-des-Champs,48.84494263342596,2.32877802689008
oberkampf,Oberkampf,48.86496414577929,2.3679014148417363
oberkampf,Oberkampf,48.8650190090373,2.368011378256503
odeon,Odéon,48.85230076309424,2.3397277815930964
pont marie,Pont Marie,48.85357547250359,2.357162571618337
saint philippe du roule,Saint-Philippe du Roule,48.87204586272729,2.3100189324082736
richard lenoir,Richard Lenoir,48.85987362347133,2.371913980100837
ranelagh,Ranelagh,48.855485050404425,2.2701091389418937
raspail,Raspail,48.83896428071056,2.330754192086216
reaumur sebastopol,Réaumur Sébastopol,48.86673355595668,2.352829461254394
reuilly diderot,Reuilly-Diderot,48.84712872224063,2.387025242098632
saint germain des pres,Saint-Germain-des-Prés,48.853718934000206,2.333776138218468
