station_key,nb_lignes
chatelet,16
saint michel,15
val de fontenay,11
massy,11
massy verrieres,11
gare d'austerlitz,11
invalides,11
nation,10
bibliotheque francois mitterrand,10
drancy,9
rungis la fraternelle,9
ivry sur seine,9
javel,9
choisy le roi,9
chemin d'antony,9
champ de mars,9
le bourget,9
vitry sur seine,9
les ardoines,9
musee d'orsay,9
pont de rungis aeroport d'orly,9
pont de l'alma,9
orly ville,9
charles de gaulle etoile,9
les saules,9
nogent sur marne,8
saint gratien,8
joinville le pont,8
gare de lyon,7
gare du nord,7
la defense,7
noisy le sec,7
vincennes,7
meudon val fleury,6
chaville velizy,6
nanterre prefecture,6
clamart,6
place d'italie,6
saint ouen,6
issy,6
gagny,6
pont du garigliano hopital europeen georges pompidou,6
viroflay rive gauche,6
bretigny,6
auber,6
saint lazare,5
clermont,5
rosny sous bois,5
creteil pompadour,5
creil,5
cramoisy,5
eaubonne,5
rieux,5
bagneux,5
montataire,5
montmorency,5
boran sur oise,5
verneuil en halatte,5
montsoult maffliers,5
ormoy villers,5
enghien les bains,5
saint leu d'esserent,5
pontpoint,5
pont sainte maxence,5
villiers le sec,5
houilles carrieres sur seine,4
bourg la reine,4
jussieu,4
la courneuve aubervilliers,4
maisons laffitte,4
la plaine stade de france saint denis aubervilliers,4
le blanc mesnil,4
luxembourg senat,4
maison blanche,4
montparnasse bienvenue,4
aulnay sous bois,4
neuilly plaisance,4
port royal,4
arcueil cachan,4
gentilly,4
laplace maison des examens,4
cite universitaire,4
sceaux,4
stalingrad,4
sartrouville,4
denfert rochereau colonel rol tanguy,4
corbeil essonnes,4
serris montevrain val d'europe,3
montigny beauchamp,3
sermaise,3
pyramides,3
michel ange molitor,3
avenue foch,3
melun,3
avenue henri martin,3
etampes,3
marolles en hurepoix,3
marne la vallee chessy parc disneyland,3
avenue du president kennedy maison de radio france,3
savigny sur orge,3
mairie de saint ouen,3
etrechy,3
sainte genevieve des bois,3
louis blanc,3
lognes,3
republique,3
censier daubenton,3
les gobelins,3
sucy bonneuil,3
cernay,3
pontoise,3
place monge,3
place de clichy,3
porchefontaine,3
pierrelaye,3
pereire levallois,3
pere lachaise,3
porte d'italie,3
porte de clichy,3
palais royal musee du louvre,3
porte de clichy tribunal de paris,3
chaussee d'antin la fayette,3
arpajon,3
opera,3
odeon,3
porte de clignancourt,3
noisy le grand mont d'est,3
noisy champs,3
noisiel,3
neuilly porte maillot palais des congres,3
les gresillons,3
chamarande,3
torcy,3
franconville le plessis bouchard,3
saint michel sur orge,3
epinay sur orge,3
dourdan la foret,3
bouray,3
bry sur marne,3
tolbiac,3
breuillet village,3
saint quentin en yvelines,3
saint maur creteil,3
boissy saint leger,3
ecole militaire,3
jaures,3
gennevilliers,3
saint martin d'etampes,3
breuillet bruyeres le chatel,3
eglise d'auteuil,3
la norville saint germain les arpajon,3
ermont eaubonne,3
dourdan,3
saint ouen l'aumone liesse,3
epinay sur seine,3
versailles chateau rive gauche,3
egly,3
saint ambroise,3
saint ouen l'aumone,3
fontenay aux roses,3
le parc de saint maur,3
saint cheron,3
versailles chantiers,3
lardy,3
champigny,3
la varenne chennevieres,3
bussy saint georges,3
saint cyr,3
boulainvilliers,3
saint remy les chevreuse,2
porte de choisy,2
porte d'ivry,2
sevran beaudottes,2
sevran livry,2
sevres babylone,2
solferino,2
saint marcel,2
porte de vanves,2
pont neuf,2
reaumur sebastopol,2
villeparisis mitry le neuf,2
rueil malmaison,2
rosny bois perrier,2
robinson,2
ris orangis,2
rennes,2
saint denis porte de paris,2
saint denis universite,2
saint francois xavier,2
raspail,2
villiers,2
saint germain des pres,2
saint germain en laye,2
sully morland,2
porte des lilas,2
vert galant,2
villepinte,2
trocadero,2
porte de la villette,2
strasbourg saint denis,2
riquet,2
acheres grand cormier,2
pont marie,2
crimee,2
chatillon montrouge,2
chatou croissy,2
cluny la sorbonne,2
concorde,2
conflans fin d'oise,2
corentin cariou,2
courcelle sur yvette,2
denfert rochereau,2
charles michels,2
duroc,2
evry courcouronnes,2
fontaine michalon,2
fort d'aubervilliers,2
franklin d. roosevelt,2
gambetta,2
gare de l'est,2
chateau landon,2
cergy saint christophe,2
poissy,2
basilique de saint denis,2
aeroport charles de gaulle 1,2
aeroport charles de gaulle 2 tgv,2
antony orly,2
arts et metiers,2
aubervilliers pantin quatre chemins,2
bagneux lucie aubrac,2
barbes rochechouart,2
bastille,2
cergy prefecture,2
belleville,2
bercy,2
boulogne jean jaures,2
bures sur yvette,2
cadet,2
campo formio,2
cergy le haut,2
garibaldi,2
gif sur yvette,2
haussmann saint lazare,2
orsay ville,2
michel ange auteuil,2
miromesnil,2
mitry claye,2
nanterre universite,2
nanterre ville,2
neuville universite,2
oberkampf,2
palaiseau,2
havre caumartin,2
palaiseau villebon,2
pantin,2
parc des expositions,2
pierre et marie curie,2
pigalle,2
plaisance,2
poissonniere,2
marcadet poissonniers,2
malesherbes,2
malakoff rue etienne dolet,2
mairie d'ivry,2
hotel de ville,2
la courneuve 8 mai 1945,2
la croix de berny,2
la fourche,2
la hacquiniere,2
la motte picquet grenelle,2
la tour maubourg,2
le guichet,2
le peletier,2
le vesinet centre,2
le vesinet le pecq,2
les baconnets,2
lozere ecole polytechnique,2
mabillon,2
acheres ville,2
madeleine,2
