Monument,Latitude,Longitude,Station la plus proche,Distance �� pied (m),Jour,Heure,Affluence,Access
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,6,51,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,7,92,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,8,14,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,9,71,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,10,60,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,11,20,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,12,82,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,13,86,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,14,74,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,15,74,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,16,87,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,17,99,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,18,23,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,19,2,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,20,21,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,21,52,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Lundi,22,1,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,6,87,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,7,29,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,8,37,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,9,1,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,10,63,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,11,59,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,12,20,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,13,32,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,14,75,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,15,57,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,16,21,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,17,88,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,18,48,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,19,90,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,20,58,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,21,41,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mardi,22,91,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,6,59,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,7,79,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,8,14,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,9,61,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,10,61,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,11,46,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,12,61,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,13,50,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,14,54,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,15,63,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,16,2,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,17,100,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,18,50,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,19,6,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,20,20,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,21,72,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Mercredi,22,38,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,6,17,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,7,3,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,8,88,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,9,59,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,10,13,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,11,8,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,12,89,1.0
Arena Bercy (Accor Arena),48.8387591247599,2.378792161983307,Bercy,165.0,Jeudi,13,52,1.0
